family	1.Nezara.viridula.Infected.Fat.Body	2.Nezara.viridula.Infected.Ovary	3.Nezara.viridula.Infected.Spermatheca	4.Nezara.viridula.Infected.Egg	5.Nezara.viridula.Clean.Fat.Body	6.Nezara.viridula.Clean.Ovary	7.Nezara.viridula.Clean.Spermatheca	8.Nezara.viridula.Clean.Egg	
mucoraceae	0.313404050144648023143683700	0	0	0.7299270072992700729927007300	58.333333333333333333333333330	0	0	0
malasseziaceae	0	0	0	0	0	0	5.154639175257731958762886600	0
nosematidae	0.0241080038572806171648987500	0.0412456176531243555372241700	0	0	0	0	0	0
saccharomycetales	0	0	0	0	0	0	17.525773195876288659793814430	0
pleosporaceae	0	0.1237368529593730666116725100	0	0	0	0	0	0
debaryomycetaceae	0	0	0	0	0	0	6.1855670103092783505154639200	0
amanitaceae	0	0	0.9852216748768472906403940900	0	0	0	1.0309278350515463917525773200	0
burenellidae	99.66248794599807135969141755	99.83501752938750257785110332	99.01477832512315270935960591	99.27007299270072992700729927	30.555555555555555555555555560	100	20.618556701030927835051546390	100
rhizopodaceae	0	0	0	0	11.111111111111111111111111110	0	0	0
coniothyriaceae	0	0	0	0	0	0	49.484536082474226804123711340	0
